"Asutuse registrikood";"Asutuse täisnimi";"Maakond, linn/vald, küla";"Tänav/maja";"Arhiv. kp";"Lõp.akt.nimi";"Lõpet. nr";"Lõpetamise akti kuupäev";"Lõpet.kp";"Arhiivis";"E-mail"
"75002867";"Kohtla-Järve lasteaed Tareke";"Kohtla-Järve linn, Ida-Viru maakond";"Maleva 45";"";"";"";"00000000";"";"";"TAREKE19@HOT.EE"
"75002910";"Kohtla-Järve lasteaed Väikemees";"Kohtla-Järve linn, Ida-Viru maakond";"Noorte 4";"";"";"";"00000000";"";"";"VAIKEMEES8@HOT.EE"
"75038536";"Kohtla-Nõmme Kool";"Kohtla-Nõmme alev, Kohtla-Nõmme vald, Ida-Viru maakond";"Kooli 6";"00000000";"";"";"00000000";"00000000";"";"KOOL@KOHTPK.EDU.EE"
"75022150";"Kohtla-Nõmme Lastekodu";"Kohtla-Nõmme alev, Kohtla-Nõmme vald, Ida-Viru maakond";"Männiku 10a";"";"";"";"00000000";"";"";"VALD@KOHTLA-NOMMEVV.EE"
"75022143";"Kohtla-Nõmme Rahvaraamatukogu";"Kohtla-Nõmme alev, Kohtla-Nõmme vald, Ida-Viru maakond";"Kooli 9";"";"";"";"00000000";"";"";"VALD@KOHTLA-NOMMEVV.EE"
"75022114";"Kohtla-Nõmme Vallavalitsus";"Kohtla-Nõmme alev, Kohtla-Nõmme vald, Ida-Viru maakond";"Kooli 6";"";"";"";"00000000";"";"";"VALD@KOHTLANOMME.EE"
"74002523";"Kohtutäiturite ja Pankrotihaldurite Koda";"Tallinn, Harju maakond";"Parda 4";"00000000";"";"";"00000000";"00000000";"";"INFO@KPKODA.EE"
"75015692";"Koigi Kool";"Koigi küla, Koigi vald, Järva maakond";"Mõisavahe tee 10";"";"";"";"00000000";"";"";"KOIGIKOOL@HOT.EE"
"75028720";"Koigi Noortekeskus";"Koigi küla, Koigi vald, Järva maakond";"Mõisavahe tee 2";"00000000";"";"";"00000000";"00000000";"";""
"75015657";"Koigi Raamatukogu";"Koigi küla, Koigi vald, Järva maakond";"Mõisavahe tee 1";"";"";"";"00000000";"";"";"RAAMATUKOGU@KOIGI.EE"
"75015640";"Koigi Vallavalitsus";"Koigi küla, Koigi vald, Järva maakond";"Mõisavahe tee 9";"";"";"";"00000000";"";"";"KOIGIVV@KOIGI.EE"
"75006055";"Koikküla Raamatukogu";"Koikküla küla, Taheva vald, Valga maakond";"Puiestee 4";"";"";"";"00000000";"";"";"HILLE.TAMMAN@MAIL.EE"
"75024705";"Kokora Rahvaraamatukogu";"Kokora küla, Alatskivi vald, Tartu maakond";"";"";"";"";"00000000";"";"";""
"75017449";"Kolde Lasteaed";"Tallinn, Harju maakond";"Timuti 24";"";"";"";"00000000";"";"";"KOLDE@KOLDE.EDU.EE"
"75025963";"Kolga Kool";"Kolga alevik, Kuusalu vald, Harju maakond";"";"";"";"";"00000000";"";"";"KOOL@KOLGA.EDU.EE"
"75025532";"Kolga Lasteaed";"Kolga alevik, Kuusalu vald, Harju maakond";"Saalimäe tee 1";"";"";"";"00000000";"";"";"KOLGA.LASTEAED@KUUSALU.EE"
"75025905";"Kolga Muuseum";"Kolga alevik, Kuusalu vald, Harju maakond";"Kolga mõis";"";"";"";"00000000";"";"";"KOLGA.MUUSEUM@KUUSALU.EE"
"75030220";"Kolga-Jaani Hooldekodu";"Kolga-Jaani alevik, Kolga-Jaani vald, Viljandi maakond";"Aia 1";"00000000";"";"";"00000000";"00000000";"";"KJAANI@HOT.EE"
"75012340";"Kolga-Jaani Kultuurimaja";"Kolga-Jaani alevik, Kolga-Jaani vald, Viljandi maakond";"Viljandi mnt 2";"";"";"";"00000000";"";"";""
"75012334";"Kolga-Jaani Lasteaed \"Naksitrallid\"";"Kolga-Jaani alevik, Kolga-Jaani vald, Viljandi maakond";"Aia 1";"";"";"";"00000000";"";"";""
"75012280";"Kolga-Jaani Põhikool";"Kolga-Jaani alevik, Kolga-Jaani vald, Viljandi maakond";"Viljandi mnt 1A";"";"";"";"00000000";"";"";"JYRI@KOLGA-JAANI.EE"
"75012386";"Kolga-Jaani Raamatukogu";"Kolga-Jaani alevik, Kolga-Jaani vald, Viljandi maakond";"Viljandi mnt 6";"";"";"";"00000000";"";"";"MALL.MOORITS@KOLGA-JAANI.EE"
"75012274";"Kolga-Jaani Vallavalitsus";"Kolga-Jaani alevik, Kolga-Jaani vald, Viljandi maakond";"Viljandi mnt 6";"";"";"";"00000000";"";"";"KALEVI.KAUR@KOLGA-JAANI.EE"
"75012311";"Kolga-Jaani valla munitsipaalasutus Sovel";"Kolga-Jaani alevik, Kolga-Jaani vald, Viljandi maakond";"Viljandi mnt 6";"";"";"";"00000000";"";"";""
"75011027";"Kolkja Lasteaed";"Kolkja alevik, Peipsiääre vald, Tartu maakond";"";"";"";"";"00000000";"";"";"PVALD@ONLINE.EE"
"75011042";"Kolkja Põhikool";"Kolkja alevik, Peipsiääre vald, Tartu maakond";"";"";"";"";"00000000";"";"";"PVALD@ONLINE.EE"
"75011079";"Kolkja Raamatukogu";"Kolkja alevik, Peipsiääre vald, Tartu maakond";"";"";"";"";"00000000";"";"";"PVALD@ONLINE.EE"
"75011062";"Kolkja Rahvamaja";"Kolkja alevik, Peipsiääre vald, Tartu maakond";"";"";"";"";"00000000";"";"";"PVALD@ONLINE.EE"
"75023622";"Konguta Kool";"Annikoru küla, Konguta vald, Tartu maakond";"";"";"";"";"00000000";"";"";"KONGUTA@KONGUTA.EE"
"75023616";"Konguta Rahvamaja";"Annikoru küla, Konguta vald, Tartu maakond";"";"";"";"";"00000000";"";"";""
"75023591";"Konguta Vallavalitsus";"Annikoru küla, Konguta vald, Tartu maakond";"";"";"";"";"00000000";"";"";"VALD@KONGUTA.EE"
"75023639";"Konguta raamatukogu";"Annikoru küla, Konguta vald, Tartu maakond";"";"";"";"";"00000000";"";"";""
"70000303";"Konkurentsiamet";"Tallinn, Harju maakond";"Auna 6";"";"";"";"00000000";"";"";"INFO@KONKURENTSIAMET.EE"
"75003520";"Koonga Kool";"Koonga küla, Koonga vald, Pärnu maakond";"";"";"";"";"00000000";"";"";"KOONGAPKOOL@GMAIL.COM"
"75003499";"Koonga Raamatukogu";"Koonga küla, Koonga vald, Pärnu maakond";"";"";"";"";"00000000";"";"";"KOONGA@PKR.EE"
"75003482";"Koonga Vallavalitsus";"Koonga küla, Koonga vald, Pärnu maakond";"";"";"";"";"00000000";"";"";"INFO@KOONGAVALD.EE"
"75009102";"Koosa Lasteaed";"Koosa küla, Vara vald, Tartu maakond";"Koosa küla 16";"";"";"";"00000000";"";"";"EDINGA@HOT.EE"
"75009094";"Koosa Raamatukogu";"Koosa küla, Vara vald, Tartu maakond";"";"";"";"";"00000000";"";"";"SIRJE.LEINI@MAIL.EE"
"75017455";"Kopli Lasteaed";"Tallinn, Harju maakond";"Kopli 104";"";"";"";"00000000";"";"";"KOPLI@LA.TLN.EDU.EE"
"75025495";"Kose Avatud Noortekeskus";"Kose alevik, Kose vald, Harju maakond";"Hariduse 2";"";"";"";"00000000";"";"";"ANGELA@KOSE.EE"
"75011553";"Kose Gümnaasium";"Kose alevik, Kose vald, Harju maakond";"Pikk 12";"";"";"";"00000000";"";"";"KOOL@KOSE.EE"
"75038500";"Kose Kultuurikeskus";"Kose alevik, Kose vald, Harju maakond";"Hariduse tn 2";"00000000";"";"";"00000000";"00000000";"";"KULTUURIKESKUS@KOSE.EE"
"75011599";"Kose Lasteaed";"Kose alevik, Kose vald, Harju maakond";"Pikk 30";"";"";"";"00000000";"";"";"INFO@KOSELA.EE"
"75011613";"Kose Muusikakool";"Kose alevik, Kose vald, Harju maakond";"Pikk 8";"";"";"";"00000000";"";"";"MUUSIKAKOOL@KOSE.EE"
"75028246";"Kose Päevakeskus";"Kose alevik, Kose vald, Harju maakond";"Hariduse 2 B-korpus";"00000000";"";"";"00000000";"00000000";"";"PAEVAKESKUS@KOSE.EE"
"75011636";"Kose Raamatukogu";"Kose alevik, Kose vald, Harju maakond";"Hariduse tn 2";"";"";"";"00000000";"";"";"SIRJE@KOSE.EE"
"75011620";"Kose Spordikool";"Kose alevik, Kose vald, Harju maakond";"Ujula 7";"";"";"";"00000000";"";"";"SPORDIKOOL@KOSE.EE"
"75026848";"Kose Spordimaja";"Kose alevik, Kose vald, Harju maakond";"Ujula 7";"";"";"";"00000000";"";"";"SPORDIMAJA@SPORDIMAJA.EE"
"75011547";"Kose Vallavalitsus";"Kose alevik, Kose vald, Harju maakond";"Hariduse tn 1";"";"";"";"00000000";"";"";"VALD@KOSE.EE"
"75034755";"Kose-Uuemõisa Külakeskus";"Kose-Uuemõisa alevik, Kose vald, Harju maakond";"Kesk tn 15";"00000000";"";"";"00000000";"00000000";"";""
"75011576";"Kose-Uuemõisa Lasteaed-Kool";"Kose-Uuemõisa alevik, Kose vald, Harju maakond";"Pargi 6";"";"";"";"00000000";"";"";"KULA@KOSE.EE"
"70003023";"Kosejõe Kool";"Kose-Uuemõisa alevik, Kose vald, Harju maakond";"";"";"";"";"00000000";"";"";"VELLO.SALISTE@KOSEJOE.EDU.EE"
"75026649";"Kostivere Kool";"Kostivere alevik, Jõelähtme vald, Harju maakond";"Aruküla tee 3";"";"";"";"00000000";"";"";"KOOL@KOSTIVERE.EDU.EE"
"75026619";"Kostivere Lasteaed";"Kostivere alevik, Jõelähtme vald, Harju maakond";"Aruküla tee 1";"";"";"";"00000000";"";"";"KAILI@KOSTILAPS.EE"
"75001425";"Krabi Põhikool";"Krabi küla, Varstu vald, Võru maakond";"";"";"";"";"00000000";"";"";"KRABI@WERRO.EE"
"75001460";"Krabi Raamatukogu";"Krabi küla, Varstu vald, Võru maakond";"";"";"";"";"00000000";"";"";""
"75024343";"Kreenholmi Muusikakool";"Narva linn, Ida-Viru maakond";"Joala 3a";"";"";"";"00000000";"";"";"KMKKOOL@HOT.EE"
"75014238";"Kristiine Linnaosa Valitsus";"Tallinn, Harju maakond";"Tulika 33B";"";"";"";"00000000";"";"";"KRISTIINE@TALLINNLV.EE"
"75016326";"Kristiine Sotsiaalmaja";"Tallinn, Harju maakond";"Energia 13";"";"";"";"00000000";"";"";""
"75016332";"Kristiine Sport";"Tallinn, Harju maakond";"Forelli 12";"";"";"";"00000000";"";"";"KRISPORT@ONLINE.EE"
"75008545";"Krootuse Hooldekodu";"Krootuse küla, Kõlleste vald, Põlva maakond";"";"";"";"";"00000000";"";"";""
"75008580";"Krootuse Lasteaed";"Krootuse küla, Kõlleste vald, Põlva maakond";"";"";"";"";"00000000";"";"";""
"75008574";"Krootuse Põhikool";"Krootuse küla, Kõlleste vald, Põlva maakond";"";"";"";"";"00000000";"";"";"DIREKTOR@KROOTUSE.EDU.EE"
"75008551";"Krootuse Rahvaraamatukogu";"Krootuse küla, Kõlleste vald, Põlva maakond";"Pargi 3";"";"";"";"00000000";"";"";""
"75002361";"Kuigatsi Raamatukogu";"Kuigatsi küla, Puka vald, Valga maakond";"";"";"";"";"00000000";"";"";"PAIMRE@HOT.EE"
"75025383";"Kuimetsa Algkool";"Kuimetsa küla, Kaiu vald, Rapla maakond";"";"";"";"";"00000000";"";"";""
"75025437";"Kuimetsa Raamatukogu";"Kuimetsa küla, Kaiu vald, Rapla maakond";"";"";"";"";"00000000";"";"";""
"75025348";"Kuimetsa Rahvamaja";"Kuimetsa küla, Kaiu vald, Rapla maakond";"";"";"";"";"00000000";"";"";""
"75015485";"Kuldre Kool";"Pihleni küla, Urvaste vald, Võru maakond";"";"";"";"";"00000000";"";"";"KOOL@KULDREPK.EDU.EE"
"75015491";"Kuldre Raamatukogu";"Kuldre küla, Urvaste vald, Võru maakond";"";"";"";"";"00000000";"";"";""
"75008829";"Kulina Lasteaed";"Kulina küla, Vinni vald, Lääne-Viru maakond";"";"";"";"";"00000000";"";"";"KULINA.LASTEAED@MAIL.EE"
"75026448";"Kullamaa Keskkool";"Kullamaa küla, Kullamaa vald, Lääne maakond";"";"";"";"";"00000000";"";"";"KULLAMAA@HWG.EDU.EE"
"75026454";"Kullamaa Kultuurimaja";"Kullamaa küla, Kullamaa vald, Lääne maakond";"";"";"";"";"00000000";"";"";""
"75026460";"Kullamaa Lasteaed";"Kullamaa küla, Kullamaa vald, Lääne maakond";"";"";"";"";"00000000";"";"";""
"75026477";"Kullamaa Raamatukogu";"Kullamaa küla, Kullamaa vald, Lääne maakond";"";"";"";"";"00000000";"";"";"RAAMATUKOGU@KULLAMAA.EE"
"75026431";"Kullamaa Vallavalitsus";"Kullamaa küla, Kullamaa vald, Lääne maakond";"";"";"";"";"00000000";"";"";"INFO@KULLAMAA.EE"
"75016220";"Kultuurikeskus \"Lindakivi\"";"Tallinn, Harju maakond";"J.Koorti 22";"";"";"";"00000000";"";"";"LINDAKIVI@INFONET.EE"
"70000941";"Kultuuriministeerium";"Tallinn, Harju maakond";"Suur-Karja 23";"";"";"";"00000000";"";"";"MIN@KUL.EE"
"75030020";"Kumna Kultuuriait";"Kumna küla, Harku vald, Harju maakond";"Kumna tee 11 A";"00000000";"";"";"00000000";"00000000";"";""
"75020517";"Kunda Hooldekodu";"Kunda linn, Lääne-Viru maakond";"Ehitajate tn 9";"";"";"";"00000000";"";"";"TERVKESK@HOT.EE"
"75020581";"Kunda Linna Klubi";"Kunda linn, Lääne-Viru maakond";"Lasteaia 4";"";"";"";"00000000";"";"";""
"75020523";"Kunda Linna Lasteaed \"Kelluke\"";"Kunda linn, Lääne-Viru maakond";"Koidu 75";"";"";"";"00000000";"";"";""
"75020569";"Kunda Linnaraamatukogu";"Kunda linn, Lääne-Viru maakond";"Koidu 75";"";"";"";"00000000";"";"";""
"75020500";"Kunda Linnavalitsus";"Kunda linn, Lääne-Viru maakond";"Kasemäe tn 19";"";"";"";"00000000";"";"";"LINNAVALITSUS@KUNDA.EE"
"75020575";"Kunda Muuseum";"Kunda linn, Lääne-Viru maakond";"Jaama 11";"";"";"";"00000000";"";"";""
"75020552";"Kunda Muusikakool";"Kunda linn, Lääne-Viru maakond";"Kasemäe 19";"";"";"";"00000000";"";"";""
"75030533";"Kunda Spordikeskus";"Kunda linn, Lääne-Viru maakond";"Kasemäe tn 19";"00000000";"";"";"00000000";"00000000";"";"SPORDIKOMPLEKS@KUNDA.EE"
"75034347";"Kunda linna Majanduskeskus";"Kunda linn, Lääne-Viru maakond";"Kasemäe 22";"00000000";"";"";"00000000";"00000000";"";""
"75027695";"Kunda Üœhisgümnaasium";"Kunda linn, Lääne-Viru maakond";"Kasemäe tn. 22";"";"";"";"00000000";"";"";""
"75003677";"Kuremaa Lasteaed-Algkool";"Kuremaa alevik, Jõgeva vald, Jõgeva maakond";"Pargi tänav 2";"";"";"";"00000000";"";"";"KUREMAAKOOL@GMAIL.COM"
"75003631";"Kuremaa Raamatukogu";"Kuremaa alevik, Jõgeva vald, Jõgeva maakond";"";"";"";"";"00000000";"";"";"KUREMAARK@GMAIL.COM"
"75003737";"Kuremaa Ujula";"Kuremaa alevik, Jõgeva vald, Jõgeva maakond";"";"";"";"";"00000000";"";"";"UJULA@KUREMAAUJULA.EE"
"75024934";"Kuremäe Raamatukogu";"Kuremäe küla, Illuka vald, Ida-Viru maakond";"";"";"";"";"00000000";"";"";""
"70003744";"Kuressaare Ametikool";"Kuressaare linn, Saare maakond";"Kohtu 22";"";"";"";"00000000";"";"";"KAK@AMETIKOOL.EE"
"75028022";"Kuressaare Gümnaasium";"Kuressaare linn, Saare maakond";"Nooruse 1";"";"";"";"00000000";"";"";"KOOL@OESEL.EDU.EE"
"75023332";"Kuressaare Ida-Niidu Lasteaed";"Kuressaare linn, Saare maakond";"Õie 2";"";"";"";"00000000";"";"";"HELIN.VINTER@KURESSAARE.EE"
"75027962";"Kuressaare Kultuurivara";"Kuressaare linn, Saare maakond";"Tallinna 6";"";"";"";"00000000";"";"";"VILLU.VESKI@KURESSAARE.EE"
"75024567";"Kuressaare Kunstikool";"Kuressaare linn, Saare maakond";"Garnisoni 16";"";"";"";"00000000";"";"";"KURESSAARE.KUNSTIKOOL@NETI.EE"
"75034494";"Kuressaare Linnamajandus";"Kuressaare linn, Saare maakond";"Tallinna 10";"00000000";"";"";"00000000";"00000000";"";"URMAS.RAIK@KURESSAARE.EE"
"75024550";"Kuressaare Linnateater";"Kuressaare linn, Saare maakond";"Tallinna 20";"";"";"";"00000000";"";"";"TEATER@KURESSAARE.EE"
"75023266";"Kuressaare Linnavalitsus";"Kuressaare linn, Saare maakond";"Tallinna 10";"";"";"";"00000000";"";"";"LINN@KURESSAARE.EE"
"75023349";"Kuressaare Muusikakool";"Kuressaare linn, Saare maakond";"Komandandi 9";"";"";"";"00000000";"";"";"TARMO.BERNS@KURESSAARE.EE"
"75024596";"Kuressaare Noorte Huvikeskus";"Kuressaare linn, Saare maakond";"Kitsas 3";"";"";"";"00000000";"";"";"KNH@KURESSAARE.EE"
"75023295";"Kuressaare Pargi Lasteaed";"Kuressaare linn, Saare maakond";"Lasteaia 11";"";"";"";"00000000";"";"";"RIINA.SAAR@KURESSAARE.EE"
"75038730";"Kuressaare Perekodu";"Kuressaare linn, Saare maakond";"Tolli 11";"00000000";"";"";"00000000";"00000000";"";"JANNETAMM@HOT.EE"
"75023289";"Kuressaare Ristiku Lasteaed";"Kuressaare linn, Saare maakond";"Ristiku tn 2b";"";"";"";"00000000";"";"";"MONIKA.TALISTU@KURESAARE.EE"
"75023303";"Kuressaare Rohu Lasteaed";"Kuressaare linn, Saare maakond";"Rohu 4";"";"";"";"00000000";"";"";"ANNE.MARIPUU@KURESSAARE.EE"
"75023272";"Kuressaare Tuulte Roosi Lasteaed";"Kuressaare linn, Saare maakond";"Ranna 38";"";"";"";"00000000";"";"";"HELLE.KARU@KURESSAARE.EE"
"75024521";"Kuressaare Täiskasvanute Gümnaasium";"Kuressaare linn, Saare maakond";"Garnisoni 16";"";"";"";"00000000";"";"";"KADRI@KOK.OESEL.EE"
"75024604";"Kuressaare Vanalinna Kool";"Kuressaare linn, Saare maakond";"Pikk tn. 31";"";"";"";"00000000";"";"";"VLK@SAARLANE.EE"
"75003694";"Kurista Lasteaed \"Karukell\"";"Kurista küla, Jõgeva vald, Jõgeva maakond";"Keskuse 15a";"";"";"";"00000000";"";"";"LASTEAEDKARUKELL@GMAIL.COM"
"75019750";"Kurtna Kool";"Kurtna küla, Saku vald, Harju maakond";"Kurtna tee 50";"";"";"";"00000000";"";"";"KURTNA.LA@SAKUVALD.EE"
"75024917";"Kurtna Laste Päevakeskus";"Kurtna küla, Illuka vald, Ida-Viru maakond";"Kurtna tee 12-11";"00000000";"";"";"20050630";"00000000";"";""
"75002732";"Kurtna Noortelaager";"Kohtla-Järve linn, Ida-Viru maakond";"Keskallee 19";"";"";"";"00000000";"";"";"KURTNA.LAAGER@KJLV.EE"
"75024946";"Kurtna Raamatukogu";"Kurtna küla, Illuka vald, Ida-Viru maakond";"";"";"";"";"00000000";"";"";""
"75032934";"Kuusalu Eakate Kodu";"Kuusalu alevik, Kuusalu vald, Harju maakond";"Kuusalu tee 33";"00000000";"";"";"00000000";"00000000";"";""
"75022574";"Kuusalu Keskkool";"Kuusalu küla, Kuusalu vald, Harju maakond";"Kooli";"";"";"";"00000000";"";"";"KOOL@KUUSALU.EDU.EE"
"75025515";"Kuusalu Kunstide Kool";"Kuusalu alevik, Kuusalu vald, Harju maakond";"Kuusalu tee 22";"";"";"";"00000000";"";"";"MUUSIKAKOOL@KUUSALU.EE"
"75025526";"Kuusalu Lasteaed Jussike";"Kuusalu alevik, Kuusalu vald, Harju maakond";"Nõmme tänav 11";"";"";"";"00000000";"";"";"LASTEAED.JUSSIKE@KUUSALU.EE"
"75032928";"Kuusalu Noortekeskused";"Kuusalu alevik, Kuusalu vald, Harju maakond";"Kuusalu tee 35";"00000000";"";"";"00000000";"00000000";"";""
"75035329";"Kuusalu Raamatukogu";"Kuusalu alevik, Kuusalu vald, Harju maakond";"Kuusalu tee 33";"00000000";"";"";"00000000";"00000000";"";"KUUSALU.RAAMATUKOGU@KUUSALU.EE"
"75033496";"Kuusalu Vallavalitsus";"Kiiu alevik, Kuusalu vald, Harju maakond";"Mõisa tee 17";"00000000";"";"";"00000000";"00000000";"";"VALLAVALITSUS@KUUSALU.EE"
"75009579";"Kuuste Kool";"Vana-Kuuste küla, Kambja vald, Tartu maakond";"";"";"";"";"00000000";"";"";"KOOL@KUUSTE.EE"
"75009609";"Kuuste Raamatukogu";"Vana-Kuuste küla, Kambja vald, Tartu maakond";"";"";"";"";"00000000";"";"";"RAAMATUKOGU@KUUSTE.EE"
"75001170";"Kuutsi Raamatukogu";"Kuutsi küla, Mõniste vald, Võru maakond";"";"";"";"";"00000000";"";"";"HELGI.KOIVUMAGI@MONISTE.EE"
"75011234";"Käina Huvi- ja Kultuurikeskus";"Käina alevik, Käina vald, Hiiu maakond";"Mäe 2";"";"";"";"00000000";"";"";"MELDORF@KAINA.HIIUMAA.EE"
"75011228";"Käina Kool";"Käina alevik, Käina vald, Hiiu maakond";"Hiiu mnt 4";"";"";"";"00000000";"";"";"KOOL@KAINA.EDU.EE"
"75011271";"Käina Lasteaed Tirtspõnni";"Käina alevik, Käina vald, Hiiu maakond";"Hiiu mnt 1b";"";"";"";"00000000";"";"";"AIRE.NURK@MAIL.EE"
"75011292";"Käina Raamatukogu";"Käina alevik, Käina vald, Hiiu maakond";"Hiiu mnt 28";"";"";"";"00000000";"";"";"KAINA.RAAMATUKOGU@MAIL.EE"
"75038084";"Käina Spordikeskus";"Käina vald, Hiiu maakond";"Mäe 4";"00000000";"";"";"00000000";"00000000";"";"UJULA@KAINA.HIIUMAA.EE"
"75011211";"Käina Vallavalitsus";"Käina alevik, Käina vald, Hiiu maakond";"Hiiu mnt 28";"";"";"";"00000000";"";"";"VALITSUS@KAINA.HIIUMAA.EE"
"75003393";"Käravete Raamatukogu";"Käravete alevik, Ambla vald, Järva maakond";"";"";"";"";"00000000";"";"";""
"75009409";"Kärdla Turg";"Kärdla linn, Hiiu maakond";"Hiiu 1A";"";"";"";"00000000";"";"";"TURG@HIIUVALD.EE"
"75009800";"Kärdla Üœhisgümnaasium";"Kärdla linn, Hiiu maakond";"Uus tn 4";"";"";"";"00000000";"";"";"KOOL@KARDLA.EE"
"75020606";"Kärla Lasteaed";"Kärla alevik, Lääne-Saare vald, Saare maakond";"Pargi tn 9";"";"";"";"00000000";"";"";"KARLALASTEAED@GMAIL.COM"
"75020612";"Kärla Muusikakool";"Kärla alevik, Kärla vald, Saare maakond";"Kooli 4";"";"";"";"00000000";"";"";"IMBI.KOLK@MAIL.EE"
"75018621";"Kärla Põhikool";"Kärla alevik, Lääne-Saare vald, Saare maakond";"Kooli 4";"";"";"";"00000000";"";"";"KOOL@KPK.EDU.EE"
"75038954";"Kärla Rahvamaja";"Kärla alevik, Lääne-Saare vald, Saare maakond";"Jõe 2";"00000000";"";"";"00000000";"00000000";"";"KARLAKLUBI@GMAIL.COM"
"75018644";"Kärla Rahvaraamatukogu";"Kärla alevik, Kärla vald, Saare maakond";"Pargi 1";"";"";"";"00000000";"";"";"KARLARAAMATUKOGU@HOT.EE"
"75018638";"Kärla Spordihall";"Kärla alevik, Kärla vald, Saare maakond";"Kooli 3";"";"";"";"00000000";"";"";"SPHALL@HOT.EE"
"75012699";"Kärstna Hooldekodu";"Kärstna küla, Tarvastu vald, Viljandi maakond";"";"";"";"";"00000000";"";"";""
"75035795";"Kärstna Kool";"Kärstna küla, Tarvastu vald, Viljandi maakond";"";"00000000";"";"";"00000000";"00000000";"";"KOOL@KARST.VIL.EE"
"75012624";"Kärstna Vaba Aja Keskus";"Kärstna küla, Tarvastu vald, Viljandi maakond";"";"";"";"";"00000000";"";"";""
"75026537";"Käru Põhikool";"Käru alevik, Käru vald, Rapla maakond";"Aia t 20";"";"";"";"00000000";"";"";"KARUKOOL@ESTPAK.EE"
"75026554";"Käru Raamatukogu";"Käru alevik, Käru vald, Rapla maakond";"Viljandi mnt 17";"";"";"";"00000000";"";"";"ILME@KARUVALD.EE"
"75026520";"Käru Rahvamaja";"Käru alevik, Käru vald, Rapla maakond";"Viljandi mnt 17";"";"";"";"00000000";"";"";"EVA@KARUVALD.EE"
"75026543";"Käru Tervisekeskus";"Käru alevik, Käru vald, Rapla maakond";"Sepikoja 1";"";"";"";"00000000";"";"";"ANNELY@KARUVALD.EE"
"75026508";"Käru Vallavalitsus";"Käru alevik, Käru vald, Rapla maakond";"Viljandi mnt 17";"";"";"";"00000000";"";"";"KARUINET@ESTPAK.EE"
"75004917";"Käsukonna Külaraamatukogu";"Käsukonna küla, Imavere vald, Järva maakond";"";"";"";"";"00000000";"";"";""
"75000934";"Kääpa Põhikool";"Kääpa küla, Lasva vald, Võru maakond";"";"";"";"";"00000000";"";"";"KOOL@KOOPAKOOL.EDU.EE"
"75000970";"Kääpa Raamatukogu";"Kääpa küla, Lasva vald, Võru maakond";"";"";"";"";"00000000";"";"";"KARMEN@LASVA.EE"
"75018683";"Kääpa Sotsiaalkeskus";"Kääpa küla, Lasva vald, Võru maakond";"";"";"";"";"00000000";"";"";"KADRI@LASVA.EE"
"75015315";"Kõidama Lasteaed Traksik";"Kõidama küla, Suure-Jaani vald, Viljandi maakond";"Lõhavere tee 7A";"";"";"";"00000000";"";"";""
"75008539";"Kõlleste Vallavalitsus";"Krootuse küla, Kõlleste vald, Põlva maakond";"Pargi 3";"";"";"";"00000000";"";"";"KOLLESTE@KOLLESTE.EE"
"75014050";"Kõmsi Lasteaed-Algkool";"Kõmsi küla, Hanila vald, Lääne maakond";"Kõmsi tee 14";"";"";"";"00000000";"";"";"KOOL@KAL.EDU.EE"
"75014095";"Kõmsi Raamatukogu";"Kõmsi küla, Hanila vald, Lääne maakond";"";"";"";"";"00000000";"";"";"HELEN.VOOGLA@HANILA.EE"
"75014114";"Kõmsi Rahvamaja";"Kõmsi küla, Hanila vald, Lääne maakond";"";"";"";"";"00000000";"";"";""
"75022002";"Kõo Raamatukogu";"Kõo küla, Kõo vald, Viljandi maakond";"";"";"";"";"00000000";"";"";"RAAMAT@KOO.EE"
"75021971";"Kõo Vallavalitsus";"Kõo küla, Kõo vald, Viljandi maakond";"";"";"";"";"00000000";"";"";"KOO.VV@NETI.EE"
"75014637";"Kõpu Hooldekodu";"Kõpu alevik, Kõpu vald, Viljandi maakond";"Viljandi mnt 11";"";"";"";"00000000";"";"";"MALLE@KOPU.EE"
"75014652";"Kõpu Põhikool";"Kõpu alevik, Kõpu vald, Viljandi maakond";"";"";"";"";"00000000";"";"";"KOPUPOHIKOOL@GMAIL.COM"
"75014646";"Kõpu Raamatukogu";"Kõpu vald, Viljandi maakond";"Tipu tn 6";"";"";"";"00000000";"";"";"RAAMATUKOGU@KOPU.EE"
"75014617";"Kõpu Vallavalitsus";"Kõpu vald, Viljandi maakond";"Tipu tn 17";"";"";"";"00000000";"";"";"VALD@KOPU.EE"
"75020486";"Kõrkvere Rahvaraamatukogu";"Kõrkvere küla, Pöide vald, Saare maakond";"";"";"";"";"00000000";"";"";"KORKVERERAAMATUKOGU@HOT.EE"
"75010559";"Kõrveküla Põhikool";"Kõrveküla alevik, Tartu vald, Tartu maakond";"";"";"";"";"00000000";"";"";"KOOL@KORVE.EDU.EE"
"74002538";"Kõrveküla Raamatukogu";"Kõrveküla alevik, Tartu vald, Tartu maakond";"Haava tn";"00000000";"";"";"00000000";"00000000";"";"RAAMATUKOGU@TARTUVV.EE"
"75010246";"Kõrveküla Spordihall";"Kõrveküla alevik, Tartu vald, Tartu maakond";"";"";"";"";"00000000";"";"";""
"75010565";"Kõrveküla lasteaed Päikeseratas";"Kõrveküla alevik, Tartu vald, Tartu maakond";"";"";"";"";"00000000";"";"";"JANA.ROSENTHAL@KORVELA.EDU.EE"
