"Asutuse.registrikood";"Asutuse.täisnimi";"Maakond..linn.vald..küla";"Tänav.maja";"Arhiv..kp";"Lõp.akt.nimi";"Lõpet..nr";"Lõpetamise.akti.kuupäev";"Lõpet.kp";"Arhiivis";"E.mail";"asut_liik";"maakond";"postikood";"telefon";"faks";"tegevuala_kood";"tegevusala";"Moodust_akti_nr";"Moodust_akti_kuupäev";"Asutamise_kuupäev";"Põhimääruse_akti_nr.";"Põhimääruse_kinnitamise_kuupäev.";"Kande_kuupäev";"Ettevõtte_registri_kood";"Kõrgemalseisva_asutuse_number";"Põhimääruse_akti_nr";"Põhimääruse_kinnitamise_kuupäev";"Moodustamisakt";"Põhimääruse_akt";"Tegevusala_kirjeldus"
"70005312";"Eesti Noorsootöö Keskus";"Tallinn, Harju maakond";"Tõnismägi 11";"";"";"";"00000000";"";"";"ENTK@ENTK.EE";"
Valitsusasutuse hallatav riigiasutus";"37 ";"15192 ";"735 0399 ";"735 0300 ";"84122 ";"Tervishoiu ja sotsiaalelu haldus ";"44 ";"27.08.1999 ";"26.08.1999 ";"17 ";"27.04.2000 ";"13.09.1999 ";" ";"70000740 ";"61 ";"02.10.2007 ";"Haridusministri määrus \"Eesti Noorsootöö Keskuse moodustamine\" ";"Haridus- ja teadusministri määrus \"Määruste muutmine\" ";"Noorsootöö suunamine ja korraldamine riikliku noortepoliitika raames."
"74000174";"Eesti Pank";"Tallinn, Harju maakond";"Estonia pst 13";"00000000";"";"";"00000000";"00000000";"";"INFO@EESTIPANK.EE";"
Põhiseaduslik institutsioon";"37 ";"15095 ";"668 0719 ";" ";"64111 ";"Keskpanga tegevus ";" ";"15.12.1989 ";"01.01.1990 ";"17 ";"27.04.2000 ";"13.09.2002 ";" ";" ";"2-1 ";"09.03.2010 ";"Eesti NSV Üœlemnõukogu otsus \"Eesti Panga asutamise kohta\" ";"Eesti Panga Nõukogu otsus \"Eesti Panga põhikirja muutmine\" ";"1) Euroopa Üœhenduse rahapoliitika kujundamisele kaasaaitamine ning Euroopa Keskpanga nõukogu poolt määratletud rahapoliitika elluviimine"
"70005982";"Eesti Piimandusmuuseum";"Imavere vald, Järva maakond";"";"";"";"";"00000000";"";"";"INFO@PIIMANDUSMUUSEUM.EE";"
Valitsusasutuse hallatav riigiasutus";"51 ";"72401 ";"389 7533 ";"389 7533 ";"91021 ";"Muuseumide tegevus ";"34 ";"05.05.2000 ";"05.07.2000 ";"17 ";"27.04.2000 ";"18.09.2000 ";" ";"70000734 ";"115 ";"10.12.2010 ";"Põllumajandusministri määrus \"Eesti Põllumajandusmuuseumi ümberkorraldamine\" ";"Põllumajandusministri määrus \"Eesti Piimandusmuuseumi põhimäärus\" ";"Eesti piimanduse ajalugu kajastavate kultuuriväärtusega asjade kogumine, uurimine, süstematiseerimine ja säilitamine, samuti nende üldsusele vahendamine teaduslikel, hariduslikel ja meelelahutuslikel eesmärkidel ning tutvustada Eestis toodetud piima ja piimatooteid elanikkonna seas."
"70002578";"Eesti Põllumajandusmuuseum";"Üœlenurme alevik, Üœlenurme vald, Tartu maakond";"Pargi 4";"";"";"";"00000000";"";"";"EPM@EPM.EE";"
Valitsusasutuse hallatav riigiasutus";"78 ";"61714 ";"738 3810 ";"738 3811 ";"91021 ";"Muuseumide tegevus ";"543 ";"09.11.1982 ";"01.01.1983 ";"17 ";"27.04.2000 ";"02.12.1998 ";" ";"70000734 ";"27 ";"26.03.2007 ";"ENSV Ministrite Nõukogu korraldus ";"Põllumajandusministri määrus \"Eesti Põllumajandusmuuseumi põhimäärus\" ";"Jäädvustada Eesti maakultuuri, põllumajanduslikku tootmist, omandisuhteid, põllumajandusharidust ja -teadust, koguda ja säilitada asjakohast ainest, uurida seda teaduslikult ning eksponeerida ja vahendada üldsusele, lähtudes teaduse ja ühiskonna vajadustest ning huvidest, edendada kultuuriantropoloogia-, museoloogia- ja muuseumipedagoogikaalast tööd ning säilitada ja arendada ajaloolist mõisakompleksi kui tervikut."
"70005536";"Eesti Rahva Muuseum";"Tartu linn, Tartu maakond";"Veski 32";"";"";"";"00000000";"";"";"ERM@ERM.EE";"
Valitsusasutuse hallatav riigiasutus";"78 ";"51014 ";"735 0400 ";" ";"91021 ";"Muuseumide tegevus ";" ";"01.04.1909 ";"14.04.1909 ";"17 ";"27.04.2000 ";"30.09.1999 ";" ";"70000941 ";"37 ";"23.10.2013 ";"Eesti Rahva Muusuemi tegevliikmete kogu koosoleku protokoll ";"Kultuuriministri määrus \"Kultuuriministri 8. juuli 2013. a määruse nr 10 \"Eesti Rahva Muuseumi põhimäärus\" muutmine\" ";"Eesti, soome-ugri ja teiste põhjarahvaste, samuti Eestis elavate rahvusgruppide ja naaberrahvaste kultuuri kajastava materjali kogumine, säilitamine, uurimine ning vahendamine hariduslikel, teaduslikel ja elamuslikel eesmärkidel"
"74000139";"Eesti Rahvusraamatukogu";"Tallinn, Harju maakond";"Tõnismägi 2";"00000000";"";"";"00000000";"00000000";"";"NLIB@NLIB.EE";"
Avalik-õiguslik juriidiline isik";"37 ";"15189 ";"630 7611 ";"631 1410 ";"91011 ";"Raamatukogude tegevus ";" ";"21.12.1918 ";"21.12.1918 ";"17 ";"27.04.2000 ";"17.09.2002 ";" ";" ";" ";"11.04.2006 ";"Eesti Ajutise Valitsuse koosoleku protokoll ";"Rahvusraamatukogu Nõukogu otsus ";"Rahvuslike kultuuriväärtuste ja infovarade kogumine, säilitamine ja kättesaadavaks tegemine, teadus- ja arendustegevus ning sellele tuginevate infoteenuste osutamine ühiskonnale."
"74002322";"Eesti Rahvusringhääling";"Tallinn, Harju maakond";"Gonsiori 27";"00000000";"";"";"00000000";"00000000";"";"ERR@ERR.EE";"
Avalik-õiguslik juriidiline isik";"37 ";"15029 ";"611 4115 ";"611 4457 ";"60201 ";"Teleringhääling ";" ";"18.01.2007 ";"01.06.2007 ";"17 ";"27.04.2000 ";"01.06.2007 ";" ";" ";" ";"00.00.0000 ";"Eesti Rahvusringhäälingu seadus ";" ";"Raadio- ja teleprogrammide loomine, saadete ning muude meediateenuste tootmine, vahendamine ja edastamine."
"70004353";"Eesti Spordimuuseum";"Tartu linn, Tartu maakond";"Rüütli 15";"";"";"";"00000000";"";"";"INFO@SPORDIMUUSEUM.EE";"
Valitsusasutuse hallatav riigiasutus";"78 ";"51007 ";"730 0750 ";"730 0763 ";"91021 ";"Muuseumide tegevus ";"453 ";"22.11.1989 ";"01.07.1967 ";"17 ";"27.04.2000 ";"18.02.1999 ";" ";"70000941 ";"11 ";"08.07.2013 ";"Eesti NSV Riikliku Kultuurikomitee käskkiri \"Muuseumide nimetuste korrastamine\" ";"Kultuuriministri määrus \"Eesti Spordimuuseumi põhimäärus\" ";"Eesti ajalooga seotud kehakultuuri- ja spordialase materjali kogumine, säilitamine, uurimine ning vahendamine hariduslikel, teaduslikel ja elamuslikel eesmärkidel."
"70006139";"Eesti Sõjamuuseum - kindral Laidoneri Muuseum";"Viimsi alevik, Viimsi vald, Harju maakond";"Mõisa tee 1";"";"";"";"00000000";"";"";"INFO@ESM.EE";"
Valitsusasutuse hallatav riigiasutus";"37 ";"74001 ";"621 7410 ";"621 7411 ";"91021 ";"Muuseumide tegevus ";"6 ";"26.02.2001 ";"01.03.2001 ";"17 ";"27.04.2000 ";"13.06.2001 ";" ";"70004502 ";"7 ";"20.03.2006 ";"Kaitseministri määrus \"Riigimuuseumi Laidoneri Muuseum moodustamine\" ";"Kaitseministri määrus \"Kaitseministri 26. veebruari 2001. a määruse nr 6 \"Riigimuuseumi Laidoneri Muuseum moodustamine\" muutmine\" ";"Muuseumi tegevusvaldkond hõlmab Eesti sõjanduse ajalooga seotud esemete ja materjalide väljaselgitamist, kogumist, säilitamist, uurimist ja üldsusele vahendamist, samuti sõjaajaloolise uurimistööga tegelemist ning rahvusvaheliste sidemete arendamist teiste vastava ala institutsioonidega."
"70000869";"Eesti Taimekasvatuse Instituut";"Jõgeva alevik, Jõgeva vald, Jõgeva maakond";"J. Aamisepa 1";"";"";"";"00000000";"";"";"INFO@ETKI.EE";"
Valitsusasutuse hallatav riigiasutus";"49 ";"48309 ";"776 6901 ";"776 6902 ";"72191 ";"Teadus- ja arendustegevus muude loodus- ja tehnikateaduste valla ";"210 ";"19.11.1992 ";"19.11.1992 ";"17 ";"27.04.2000 ";"26.10.1998 ";" ";"70000734 ";"42 ";"04.06.2013 ";"Põllumajandusministeeriumi käskkiri \"Jõgeva Sordiaretusjaama nimetuse muutmine\" ";"Põllumajandusministri määrus \"Eesti Taimekasvatuse Instituudi põhimäärus\" ";"Põllumajanduskultuuride sortide ja agrotehnoloogiaga tegelemine"
"70006932";"Eesti Tarbekunsti- ja Disainimuuseum";"Tallinn, Harju maakond";"Lai 17";"00000000";"";"";"00000000";"00000000";"";"INFO@ETDM.EE";"
Valitsusasutuse hallatav riigiasutus";"37 ";"10133 ";"627 4600 ";"627 4601 ";"91021 ";"Muuseumide tegevus ";"19 ";"17.11.2003 ";"01.02.2004 ";"17 ";"27.04.2000 ";"02.02.2004 ";" ";"70000941 ";"12 ";"08.07.2013 ";"Kultuuriministri määrus \"Eesti Kunstimuuseumi ümberkorraldamine\" ";"Kultuuriministri määrus \"Eesti Tarbekunsti- ja Disainimuuseumi põhimäärus \" ";"Eesti tarbekunsti ja disaini ning sellega seotud materjali kogumine, säilitamine, uurimine ning vahendamine hariduslikel, teaduslikel ja elamuslikel eesmärkidel"
"74000168";"Eesti Teaduste Akadeemia";"Tallinn, Harju maakond";"Kohtu 6";"00000000";"";"";"00000000";"00000000";"";"AKADEEMIA@AKADEEMIA.EE";"
Avalik-õiguslik juriidiline isik";"37 ";"10130 ";"6 442 129 ";"6 451 805 ";"72191 ";"Teadus- ja arendustegevus muude loodus- ja tehnikateaduste valla ";" ";"16.04.1997 ";"19.05.1997 ";"17 ";"27.04.2000 ";"10.09.2002 ";"01024132 ";" ";"1 ";"18.12.1997 ";"Eesti Teaduste Akadeemia seadus ";"Eesti Teaduste Akadeemia üldkogu otsus \"Eesti Teaduste Akadeemia põhikirjast\" ";"Arendab ja esindab Eesti teadust. Akadeemia põhiline missioon on teadlaste ühendusena sõltumatult ja kõrge teadusliku professionaalsusega aidata kaasa Eesti teaduse ning riigi sotsiaalse ja majandusliku arengu küsimuste lahendamisele"
"74000352";"Eesti Teaduste Akadeemia Kirjastus";"Tallinn, Harju maakond";"Estonia pst. 7";"00000000";"";"";"00000000";"00000000";"";"NIINE@KIRJ.EE";"
Avalik-õigusliku juriidilise isiku asutus";"37 ";"10143 ";"6 454 504 ";"6 466 026 ";"58112 ";"Õpikute, sõnaraamatute jm teatmeteoste kirjastamine ";"PROT.NR.10 §65 ";"12.10.1993 ";"01.01.1994 ";"17 ";"27.04.2000 ";"21.10.2002 ";"01262179 ";"74000168 ";"4 ";"19.04.2000 ";"Eesti Teaduste Akadeemia presiidiumi otsus ";"Eesti Teaduste Akadeemia üldkogu otsus \"Akadeemia normatiivaktide kinnitamine\" ";"Annab välja teaduslikku ja populaarteaduslikku kirjandust ning arendab tegevust, mis aitab kaasa Eesti teadlaste uurimistulemuste kirjastamisele"
"74000381";"Eesti Teaduste Akadeemia Underi ja Tuglase Kirjanduskeskus";"Tallinn, Harju maakond";"Roosikrantsi 6";"00000000";"";"";"00000000";"00000000";"";"JANA@EKI.EE, PIRET@EKI.EE";"
Avalik-õigusliku juriidilise isiku asutus";"37 ";"10119 ";"6443147 ";"6440177 ";"72201 ";"Teadus- ja arendustegevus sotsiaal- ja humanitaarteaduste vallas ";" ";"30.03.1998 ";"30.03.1998 ";"17 ";"27.04.2000 ";"28.10.2002 ";"01267900 ";"74000168 ";"4 ";"19.04.2000 ";"Eesti Vabariigi Haridusministeeriumi ja Eesti Teaduste Akadeemia Üœhinemisleping ";"Eesti Teaduste Akadeemia üldkogu otsus \"Akadeemia normatiivaktide kinnitamine\" ";"Eesti rahvuskirjanduse ja humanitaarse kirjasõna alusuuringud ning nende publitseerimine vastavalt oma põhisuundadele, hooldab kogusid ja kogu F.Tuglase pärandvara, viib läbi loeng-ekskursioone, teenindab üksikkülastajaid"
"70004382";"Eesti Teatri- ja Muusikamuuseum";"Tallinn, Harju maakond";"Müürivahe 12";"";"";"";"00000000";"";"";"INFO@TMM.EE";"
Valitsusasutuse hallatav riigiasutus";"37 ";"10146 ";"644 2132 ";"641 8166 ";"91021 ";"Muuseumide tegevus ";"453 ";"22.11.1989 ";"01.01.1924 ";"17 ";"27.04.2000 ";"19.02.1999 ";"1071752 ";"70000941 ";"13 ";"08.07.2013 ";"Eesti NSV Riikliku Kultuurikomitee käskkiri \"Muuseumide nimetuste korrastamine\" ";"Kultuuriministri määrus \"Eesti Teatri- ja Muusikamuuseumi põhimäärus\" ";"Eesti teatri- ja muusikaajalooga seotud materjali kogumine, säilitamine, uurimine ning vahendamine hariduslikel, teaduslikel ja elamuslikel eesmäkidel"
"74000085";"Eesti Töötukassa";"Tallinn, Harju maakond";"Lasnamäe 2";"00000000";"";"";"00000000";"00000000";"";"INFO@TOOTUKASSA.EE";"
Avalik-õiguslik juriidiline isik";"37 ";"11412 ";"614 8500 ";"614 8501 ";"84301 ";"Kohustuslik sotsiaalkindlustus ";" ";"13.06.2001 ";"01.01.2002 ";"17 ";"27.04.2000 ";"30.08.2002 ";" ";" ";"417 ";"19.12.2001 ";"Töötuskindlustuse seadus ";"Vabariigi Valitsuse määrus \"Eesti Töötukassa põhikiri\" ";"Töötuskindlustushüvitise, töölepingute kollektiivse ülesütlemise hüvitise ja tööandja maksejõuetuse hüvitise maksmine, tööturuteenuste osutamine ja tööturutoetuste maksmine, töötuskindlustuse ja tööturumeetmete planeerimine ning nende mõju ja tulemuslikkuse analüüsimine."
"75017283";"Ehte Humanitaargümnaasium";"Tallinn, Harju maakond";"Ehte 9";"";"";"";"00000000";"";"";"EHTEHG@EHTEHG.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"10318 ";"602 0736 ";"602 2266 ";"85313 ";"Gümnaasiumide tegevus ";"20/545 ";"29.12.1992 ";"29.12.1992 ";"17 ";"27.04.2000 ";"07.11.2000 ";"1035093 ";"75014289 ";"50 ";"28.05.2014 ";"Riigi vara munitsipaalomandusse üleandmise akt ";"Tallinna Linnavalitsuse määrus \"Ehte Humanitaargümnaasiumi põhimäärus\" ";"Loob koolikohustuslikele lastele võimalused üldkeskhariduse omandamiseks."
"75021735";"Eidapere Kool";"Kehtna vald, Rapla maakond";"Tallinna mnt 23c";"";"";"";"00000000";"";"";"EIDAPERE.KOOL@KEHTNA.EE";"
Valla ametiasutuse hallatav asutus";"70 ";"79003 ";"489 2516 ";" ";"85312 ";"Põhikoolide tegevus ";"100 ";"03.05.1990 ";"01.08.1990 ";"17 ";"27.04.2000 ";"02.04.2001 ";"61001539 ";"75021729 ";"27 ";"17.05.2011 ";"Rapla Maakonnavalitsuse korraldus ";"Kehtna Vallavolikogu määrus \"Valla koolide põhimääruste kinnitamine.\" ";"Loob võimalused põhihariduse omandamiseks ja koolikohustuse täitmiseks"
"75021787";"Eidapere Kultuurikeskus";"Eidapere alevik, Kehtna vald, Rapla maakond";"Tallinna mnt 23B";"";"";"";"00000000";"";"";"EIDAPERE.KULTUURIKESKUS@KEHTNA.EE";"
Valla ametiasutuse hallatav asutus";"70 ";"79003 ";"486 1224 ";" ";"93291 ";"Kultuurikeskused ja rahvamajad ";" ";"02.12.1994 ";"02.12.1994 ";"17 ";"27.04.2000 ";"02.04.2001 ";"61016239 ";"75021729 ";"33 ";"17.12.2014 ";"Ehituse vastuvõtukomisjoni akt ";"Kehtna Vallavolikogu määrus \"Kultuuriasutuste põhimääruste kinnitamine\" ";"Paikkonna kultuurilise teenindamise tagamine ja huvitegevuse korraldamine"
"75021824";"Eidapere Lasteaed Kukupai";"Eidapere alevik, Kehtna vald, Rapla maakond";"Tallinna mnt 23B";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"70 ";"79003 ";"486 1232 ";" ";"85102 ";"Lasteaedade tegevus ";" ";"01.09.1991 ";"01.09.1991 ";"17 ";"27.04.2000 ";"02.04.2001 ";"61006502 ";"75021729 ";"16 ";"16.11.2010 ";"Lokuta Ettevõtete Liidu sotsiaal-kultuuriobjektide munitsipaalomandisse üleandmise akt ";"Kehtna Vallavolikogu määrus \"Valla lasteaedade põhimääruste kinnitamine\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist"
"75021876";"Eidapere Rahvaraamatukogu";"Eidapere alevik, Kehtna vald, Rapla maakond";"Tallinna mnt 23b";"";"";"";"00000000";"";"";"RAAMATUKOGU@EIDAPERE.EE";"
Valla ametiasutuse hallatav asutus";"70 ";"79003 ";"486 1243 ";" ";"91011 ";"Raamatukogude tegevus ";"100 ";"03.05.1990 ";"01.07.1990 ";"17 ";"27.04.2000 ";"02.04.2001 ";"61007648 ";"75021729 ";"66 ";"17.03.2009 ";"Rapla Maakonnavalitsuse korraldus ";"Kehtna Vallavolikogu määrus \"Valla rahvaraamatukogude põhimääruste kinnitamine\" ";"Kogub, säilitab ja teeb lugejale kättesaadavaks temale vajalikud trükised, auvised ja teised teavikud ning avalikud andmebaasid."
"75021540";"Eikla Raamatukogu";"Koidula küla, Kaarma vald, Saare maakond";"";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"74 ";"93823 ";"459 0219 ";" ";"91011 ";"Raamatukogude tegevus ";"17 ";"22.11.2000 ";"01.12.2000 ";"17 ";"27.04.2000 ";"04.12.2000 ";"45019853 ";"75004145 ";"18 ";"23.09.2009 ";"Kaarma Vallavolikogu määrus \"Aste raamatukogu, Abruka raamatukogu, Eikla raamatukogu, Kaarma raamatukogu, Randvere raamatukogu ja Nasva klubi põhimääruste kinnitamine\" ";"Kaarma Vallavolikogu määrus \"Kaarma valla raamatukogude põhimääruste kinnitamine\" ";"Osutab Kaarma valla elanikele põhiteenuseid: teavikute kohapeal kasutamine, kojulaenutus ja avalikule teabele üldkasutatava andmesidevõrgu kaudu juurdepääsu võimaldamine vastavalt raamatukogu kasutamise eeskirjale."
"75002152";"Elistvere Raamatukogu";"Elistvere küla, Tabivere vald, Jõgeva maakond";"";"";"";"";"00000000";"";"";"ELISTVERE@HOT.EE";"
Valla ametiasutuse hallatav asutus";"49 ";"49101 ";"776 4886 ";" ";"91011 ";"Raamatukogude tegevus ";"451 ";"10.09.1990 ";"10.09.1990 ";"17 ";"27.04.2000 ";"11.05.2000 ";"41005334 ";"75002078 ";"15 ";"18.04.2000 ";"Jõgeva Maakonnavalitsuse määrus ";"Tabivere Vallavolikogu määrus \"Raamatukogude põhimääruste kinnitamine\" ";"Trükiste jt. teavikute ning avalike andmebaaside kogumine, säilitamine ja lugejale kättesaadavaks tegemine."
"75008143";"Elva Gümnaasium";"Elva linn, Tartu maakond";"Puiestee 2";"";"";"";"00000000";"";"";"KOOL@ELVAG.EDU.EE";"
Linna ametiasutuse hallatav asutus";"78 ";"61507 ";"7301820;7301837 ";" ";"85313 ";"Gümnaasiumide tegevus ";" ";"05.09.1991 ";"05.09.1991 ";"17 ";"27.04.2000 ";"17.08.2000 ";"64003031 ";"75008092 ";"18 ";"27.12.2010 ";"Elva Linnavolikogu otsus \"Elva linnas munitsipaliseerimisele kuuluvate objektide kinnitamine\" ";"Elva Linnavolikogu määrus \"Elva Gümnaasiumi põhimäärus\" ";"Võimaldab põhi- ja üldkeskhariduse omandamist."
"75008120";"Elva Huviala- ja Kultuurikeskus \"Sinilind\"";"Elva linn, Tartu maakond";"Kesk 30";"";"";"";"00000000";"";"";"SINILIND@ELVA.EE";"
Linna ametiasutuse hallatav asutus";"78 ";"61507 ";"7 457 201 ";" ";"93291 ";"Kultuurikeskused ja rahvamajad ";"123-XIII ";"24.09.1997 ";"01.01.1998 ";"17 ";"27.04.2000 ";"17.08.2000 ";"64009406 ";"75008092 ";"3 ";"30.01.2012 ";"Elva Linnavolikogu otsus \"Elva linna asutuse \"Elva Lauluväljak\" ja kultuurikeskuse \"Sinilind\" ümberkujundamine\" ";"Elva Linnavolikogu määrus \"Elva Huviala- ja Kultuurikeskuse Sinilind põhimäärus\" ";"Huviala- ja kultuuritegevuse ning huvialase koolituse korraldamine Elva linnas ja tingimuste loomine elanikkonna vaba aja mitmekülgseks sisustamiseks. Elanikkonna kultuurialane ja meelelahutuslik teenindamine"
"75014847";"Elva Lasteaed \"Murumuna\"";"Elva linn, Tartu maakond";"Kesk 29";"";"";"";"00000000";"";"";"MURUMUNA@ELVA.EE";"
Linna ametiasutuse hallatav asutus";"78 ";"61507 ";"745 6206 ";" ";"85102 ";"Lasteaedade tegevus ";" ";"05.09.1991 ";"05.09.1991 ";"17 ";"27.04.2000 ";"24.10.2000 ";"64003361 ";"75008092 ";"1 ";"30.01.2012 ";"Elva Linnavolikogu otsus \"Elva linnas munitsipaliseerimisele kuuluvate objektide kinnitamine\" ";"Elva Linnavolikogu määrus \"Elva Lasteaed Murumuna põhimäärus\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist"
"75014830";"Elva Lasteaed \"Õnneseen\"";"Elva linn, Tartu maakond";"Kaja 4";"";"";"";"00000000";"";"";"ONNESEEN@ELVA.EE";"
Linna ametiasutuse hallatav asutus";"78 ";"61505 ";"735 6017 ";" ";"85102 ";"Lasteaedade tegevus ";" ";"05.09.1991 ";"05.09.1991 ";"17 ";"27.04.2000 ";"24.10.2000 ";"64003378 ";"75008092 ";"2 ";"30.01.2012 ";"Elva Linnavolikogu otsus \"Elva linnas munitsipaliseerimisele kuuluvate objektide kinnitamine\" ";"Elva Linnavolikogu määrus \"Elva Lasteaed Õnneseen põhimäärus\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist."
"75008114";"Elva Linnaraamatukogu";"Elva linn, Tartu maakond";"Tartu mnt 3";"";"";"";"00000000";"";"";"RAAMATUKOGU@ELVA.EE";"
Linna ametiasutuse hallatav asutus";"78 ";"61505 ";"7456601;7456750 ";" ";"91011 ";"Raamatukogude tegevus ";" ";"05.09.1991 ";"05.09.1991 ";"17 ";"27.04.2000 ";"17.08.2000 ";"64009398 ";"75008092 ";"8 ";"30.04.2012 ";"Elva Linnavolikogu otsus \"Elva linnas munitsipaliseerimisele kuuluvate objektide kinnitamine\" ";"Elva Linnavolikogu määrus \"Elva Linnaraamatukogu põhimäärus\" ";"Tagada elanikele vaba ja piiramatu juurdepääs informatsioonile, teadmistele, inimmõtte saavutustele ning kultuurile, toetada elukestvat õppimist ja enesetäiendamist"
"75008092";"Elva Linnavalitsus";"Elva linn, Tartu maakond";"Kesk 32";"";"";"";"00000000";"";"";"ELVA@ELVA.EE";"
Linna ametiasutus";"78 ";"61507 ";"730 9880 ";"730 9881 ";"84114 ";"Valla- ja linnavalitsuste tegevus ";" ";"16.05.1991 ";"16.05.1991 ";"17 ";"27.04.2000 ";"17.08.2000 ";"64004219 ";" ";"3 ";"29.05.2000 ";"Eesti Vabariigi Üœlemnõukogu Presiidiumi seadlus ";"Elva Linnavolikogu määrus \"Elva linna põhimääruse kinnitamine\" ";"Viib praktilise tegevusega ellu linna põhimääruse ja teiste õigusaktidega Elva linnale pandud ülesandeid."
"75008189";"Elva Muusikakool";"Elva linn, Tartu maakond";"Kalda 11";"";"";"";"00000000";"";"";"MUUSIKAKOOL@ELVA.EE";"
Linna ametiasutuse hallatav asutus";"78 ";"61505 ";"7 456 199 ";" ";"85521 ";"Muusika- ja kunstikoolitus ";" ";"05.09.1991 ";"05.09.1991 ";"17 ";"27.04.2000 ";"17.08.2000 ";"64009375 ";"75008092 ";"7 ";"29.04.2013 ";"Elva Linnavolikogu otsus \"Elva linnas munitsipaliseerimisele kuuluvate objektide kinnitamine\" ";"Elva Linnavolikogu määrus \"Elva Muusikakooli põhimäärus\" ";"Laste ja noorte loomevõimete avastamine ja kavakindel arendamine, kohaliku kultuurielu edendamine."
"75009941";"Emmaste Lastepäevakodu \"Naksitrallid\"";"Emmaste küla, Emmaste vald, Hiiu maakond";"";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"39 ";"92001 ";"046 95 468 ";" ";"85102 ";"Lasteaedade tegevus ";"02/556/03 ";"01.11.1994 ";"01.11.1994 ";"17 ";"27.04.2000 ";"07.09.2000 ";"73000479 ";"75009935 ";"165 ";"04.06.1997 ";"Riigi vara munitsipaalomandisse andmise akt ";"Emmaste Vallavalitsuse korraldus \"Emmaste Lastepäevakodu \"Naksitrallid\"põhimääruse kinnitamine\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist."
"75009958";"Emmaste Põhikool";"Emmaste küla, Emmaste vald, Hiiu maakond";"";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"39 ";"92001 ";"046 95 247, 046 ";" ";"85312 ";"Põhikoolide tegevus ";"02/553/03 ";"01.11.1994 ";"01.11.1994 ";"17 ";"27.04.2000 ";"07.09.2000 ";"73000315 ";"75009935 ";"166 ";"04.06.1997 ";"Riigi vara munitsipaalomandisse andmise akt ";"Emmaste Vallavalitsuse korraldus \"Emmaste Põhikooli põhikirja kinnitamine\" ";"Võimaldab põhihariduse omandamist."
"75009964";"Emmaste Raamatukogu";"Emmaste küla, Emmaste vald, Hiiu maakond";"";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"39 ";"92001 ";"046 31 703 ";" ";"91011 ";"Raamatukogude tegevus ";"02/552/03 ";"01.11.1994 ";"01.11.1994 ";"17 ";"27.04.2000 ";"07.09.2000 ";"73002455 ";"75009935 ";"176 ";"04.06.1997 ";"Riigi vara munitsipaalomandisse andmise akt ";"Emmaste Vallavalitsuse korraldus \"Emmaste Raamatukogu põhikirja kinnitamine\" ";"Vallaelanike teenindamine kirjanduse ja ajakirjanduse laenutamisel."
"75034465";"Emmaste Vaba Aja Keskus";"Emmaste küla, Emmaste vald, Hiiu maakond";"";"00000000";"";"";"00000000";"00000000";"";"VALD@EMMASTE.EE";"
Valla ametiasutuse hallatav asutus";"39 ";"92001 ";"462 2444 ";" ";"85529 ";"Muu huvikoolitus ";"37 ";"17.12.2015 ";"01.02.2016 ";"17 ";"27.04.2000 ";"01.02.2016 ";" ";"75009935 ";"37 ";"17.12.2015 ";"Emmaste Vallavolikogu määrus \"Emmaste Vallavalitsuse hallatava asutuse Emmaste Avatud Noortekeskus tegevuse ümberkorraldamine Emmaste Vaba Aja Keskuseks ning Emmaste Vaba Aja Keskuse põhimääruse kinnitamine\" ";"Emmaste Vallavolikogu määrus \"Emmaste Vallavalitsuse hallatava asutuse Emmaste Avatud Noortekeskus tegevuse ümberkorraldamine Emmaste Vaba Aja Keskuseks ning Emmaste Vaba Aja Keskuse põhimääruse kinnitamine\" ";"Emmaste Vaba Aja Keskuse tegevuse eesmärk on tagada Emmaste valla elanikele mitmekülgsed vaba aja veetmise võimalused, koordineerida ja arendada huvi-, spordi-, kultuuri- ja muud vabaajategevust, toetada elukestvat õppimist ja enesetäiendamist ning korraldada avatud noorsootööd."
"75009935";"Emmaste Vallavalitsus";"Emmaste küla, Emmaste vald, Hiiu maakond";"";"";"";"";"00000000";"";"";"VALITSUS@EMMASTE.HIIUMAA.EE";"
Valla ametiasutus";"39 ";"92001 ";"046 22 444 ";"046 22 444 ";"84114 ";"Valla- ja linnavalitsuste tegevus ";"1205-XII ";"30.04.1992 ";"30.04.1992 ";"17 ";"27.04.2000 ";"07.09.2000 ";"73002136 ";" ";"15 ";"26.05.2000 ";"Eesti Vabariigi Üœlemnõukogu Presiidiumi seadlus ";"Emmaste Vallavolikogu määrus \"Emmaste valla põhimääruse kinnitamine\" ";"Valla omavalitsuse kollegiaalne täitevorgan, mis viib praktilise tegevusega ellu vallavalitsusele pandud ülesandeid."
