"Asutuse registrikood";"Asutuse t�isnimi";"Maakond, linn/vald, k�la";"T�nav/maja";"Arhiv. kp";"L�p.akt.nimi";"L�pet. nr";"L�petamise akti kuup�ev";"L�pet.kp";"Arhiivis";"E-mail";"asut_liik";"maakond";"postikood";"telefon";"faks";"tegevuala_kood";"tegevusala";"Moodust_akti_nr";"Moodust_akti_kuup�ev";"Asutamise_kuup�ev";"P�him��ruse_akti_nr.";"P�him��ruse_kinnitamise_kuup�ev.";"Kande_kuup�ev";"Ettev�tte_registri_kood";"K�rgemalseisva_asutuse_number";"P�him��ruse_akti_nr";"P�him��ruse_kinnitamise_kuup�ev";"Moodustamisakt";"P�him��ruse_akt";"Tegevusala_kirjeldus"
"70002822";"Lahmuse Kool";"Lahmuse k�la, Suure-Jaani vald, Viljandi maakond";"";"";"";"";"00000000";"";"";"LAHMUSE@LAHMUSE.EDU.EE";"
Valitsusasutuse hallatav riigiasutus";"84 ";"71412 ";"437 1293 ";"43 41 135 ";"85312 ";"Põhikoolide tegevus ";" ";"29.09.1993 ";"01.01.1994 ";"17 ";"27.04.2000 ";"09.12.1998 ";"35006588 ";"70000740 ";"48 ";"30.09.2011 ";"Viljandi maakonnavolikogu otsus \"Maakonna munitsipaalvarade üleandmisest\" ";"Haridus- ja teadusministri määrus \"Lahmuse Kooli põhimäärus\" ";"Põhikool intellektipuudega õpilastele"
"75020823";"Laimjala Rahvamaja";"Laimjala k�la, Laimjala vald, Saare maakond";"";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"74 ";"94401 ";"045 94 394 ";" ";"93291 ";"Kultuurikeskused ja rahvamajad ";"31 ";"07.02.1990 ";"01.03.1990 ";"17 ";"27.04.2000 ";"04.12.2000 ";" ";"75020799 ";"14 ";"03.11.2000 ";"Saare Maavalitsuse korraldus \"Maavalitsuse funktsioonide üleandmisest linna- ja külanõukogudele\" ";"Laimjala Vallavolikogu määrus \"Laimjala Rahvamaja põhimääruse kinnitamine\" ";"Kultuurilise teenindamise tagamine ja huvitegevuse korraldamine"
"75020836";"Laimjala Rahvaraamatukogu";"Laimjala k�la, Laimjala vald, Saare maakond";"";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"74 ";"94401 ";"045 94 391 ";" ";"91011 ";"Raamatukogude tegevus ";"31 ";"07.02.1990 ";"01.03.1990 ";"17 ";"27.04.2000 ";"04.12.2000 ";" ";"75020799 ";"13 ";"03.11.2000 ";"Saare Maavalitsuse korraldus \"Maavalitsuse funktsioonide üleandmisest linna- ja külanõukogudele\" ";"Laimjala Vallavolikogu määrus \"Laimjala ja Audla raamatukogude põhimääruste kinnitamine \" ";"Kogub, komplekteerib, säilitab ja teeb lugejatele kättesaadavaks temale vajalikud trükised ning avalikud andmebaasid"
"75020859";"Laimjala Sotsiaalkorter-P�evakeskus";"Laimjala k�la, Laimjala vald, Saare maakond";"";"";"";"";"00000000";"";"";"LAIMJALA@ESTPAK.EE";"
Valla ametiasutuse hallatav asutus";"74 ";"94401 ";"045 94 524 ";"045 94 399 ";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus ";"7 ";"13.03.1996 ";"13.03.1996 ";"17 ";"27.04.2000 ";"04.12.2000 ";" ";"75020799 ";"14 ";"03.11.2000 ";"Laimjala Vallavolikogu otsus \"Sotsiaalkorter-päevakeskuse asutamine\" ";"Laimjala Vallavolikogu määrus \"Laimjala Sotsiaalkorteri-Päevakeskuse põhimääruse kinnitamine\" ";"Sotsiaalteenuseid osutav hoolekandeasutus"
"75020799";"Laimjala Vallavalitsus";"Laimjala k�la, Laimjala vald, Saare maakond";"";"";"";"";"00000000";"";"";"LAIMJALA@ESTPAK.EE";"
Valla ametiasutus";"74 ";"94401 ";"045 94 322 ";"045 94 399 ";"84114 ";"Valla- ja linnavalitsuste tegevus ";" ";"26.09.1991 ";"26.09.1991 ";"17 ";"27.04.2000 ";"04.12.2000 ";"45001681 ";" ";"6 ";"27.01.2000 ";"Eesti Vabariigi Ülemnõukogu Presiidiumi seadlus ";"Laimjala Vallavolikogu määrus \"Laimjala valla põhimääruse uue redaktsiooni kinnitamine\" ";"Viib praktilise tegevusega ellu õigusaktides Laimjala vallale kui omavalitsusüksusele pandud ning vallavolikogu määrustes ja otsustes seatud ülesandeid"
"75011435";"Laitse Raamatukogu";"Laitse k�la, Kernu vald, Harju maakond";"Laitse 41-7";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"37 ";"76302 ";"0 607 8731 ";" ";"91011 ";"Raamatukogude tegevus ";" ";"18.04.1990 ";"01.07.1990 ";"17 ";"27.04.2000 ";"29.09.2000 ";"71011697 ";"75011381 ";"11 ";"17.04.2003 ";"Nissi Küla Rahvasaadikute Nõukogu otsus \"Nissi külanõukogu territooriumil asuvate kultuurimajade ja raamatukogude ületoomisest Nissi külanõukogu alluvusse\" ";"Kernu Vallavolikogu määrus \"Kernu valla rahvaraamatukogude põhimääruste ja kasutamise eeskirja kinnitamine\" ";"Lugejale vajaliku kirjanduse, audiovisuaalsete infokandjate ja muude üldkasutatavate dokumentide, sealhulgas Kernu valla omavalitsusorganite õigusaktide ja vallavolikogu istungite protokollide, samuti oma teeninduspiirkonda puudutava kirjanduse ja muu ainestiku kogumine, hoidmine ja kättesaadavaks tegemine ning avalike andmepankade kasutamise võimaldamine."
"75003654";"Laiuse P�hikool";"Laiuse alevik, J�geva vald, J�geva maakond";"";"";"";"";"00000000";"";"";"KOOL@LAIUSEPK.EDU.EE";"
Valla ametiasutuse hallatav asutus";"49 ";"48443 ";"7742567;7742538 ";" ";"85312 ";"Põhikoolide tegevus ";"1 ";"02.01.1992 ";"02.01.1992 ";"17 ";"27.04.2000 ";"07.06.2000 ";"41001336 ";"75003594 ";"6 ";"07.02.2011 ";"Jõgeva Küla Rahvasaadikute Nõukogu Täitevkomitee korraldus \"Koolide, lasteasutuste ja klubide Jõgeva Küla RSN Täitevkomitee alluvusse võtmine\" ";"Jõgeva Vallavalitsuse määrus \"Laiuse Põhikooli põhimääruse kinnitamine\" muutmine ";"Tingimuste ja võimaluste loomine koolikohustuse täitmiseks."
"75003625";"Laiuse Raamatukogu";"Laiuse alevik, J�geva vald, J�geva maakond";"Kuremaa tee 30";"";"";"";"00000000";"";"";"KATRE@LAIUSEKP.EDU.EE";"
Valla ametiasutuse hallatav asutus";"49 ";"48443 ";"774 2510 ";" ";"91011 ";"Raamatukogude tegevus ";"2 ";"16.02.1995 ";"16.02.1995 ";"17 ";"27.04.2000 ";"07.06.2000 ";"41005386 ";"75003594 ";"28 ";"17.10.2013 ";"Jõgeva Vallavolikogu otsus \"Munitsipaalomandusse taotlemine - raamatukogude, Laiuse Seltsimaja ja Siimusti velskripunkti varad\" ";"Jõgeva Vallavolikogu määrus \"Laiuse Raamatukogu põhimäärus\" ";"Tagada elanike, eeskätt Jõgeva valla elanike vaba ja piiramatu juurdepääs informatsioonile, teadmistele, inimmõtte saavutustele ja kultuurile, toetada elukestvat õppimist ja enesetäiendamist"
"75012127";"Lasila P�hikool";"Lasila k�la, Rakvere vald, L��ne-Viru maakond";"Vahtra puiestee 17";"";"";"";"00000000";"";"";"LASILAKOOL@HOT.EE";"
Valla ametiasutuse hallatav asutus";"59 ";"44401 ";"032 52 075; 032 ";" ";"85312 ";"Põhikoolide tegevus ";"07/08/260 ";"27.07.1992 ";"27.07.1992 ";"17 ";"27.04.2000 ";"04.10.2000 ";"59024941 ";"75012096 ";"3 ";"10.04.2000 ";"Riigivara munitsipaalomandusse üleandmise akt ";"Rakvere Vallavolikogu määrus \"Lasila Põhikooli põhimääruse kinnitamine\" ";"Võimaldab lastel täita koolikohustust ja omandada põhiharidust."
"75016792";"Lasnam�e G�mnaasium";"Tallinn, Harju maakond";"Pae 59";"";"";"";"00000000";"";"";"LASGY@LASGY.TLN.EDU.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"13621 ";"633 2611 ";"633 2388 ";"85313 ";"Gümnaasiumide tegevus ";"2 ";"22.01.2015 ";"29.12.1992 ";"17 ";"27.04.2000 ";"01.09.2015 ";"1043572 ";"75014289 ";" ";"00.00.0000 ";"Tallinna Linnavolikogu otsus \"Tallinna Paekaare Gümnaasiumi ja Lasnamäe Gümnaasiumi ümberkorraldamine Lasnamäe Gümnaasiumiks\" ";"hetkel kehtivat põhimäärust ei ole ";"Põhihariduse andmine"
"75031739";"Lasnam�e Lastekeskus";"Tallinn, Harju maakond";"ܜmera tn 46";"00000000";"";"";"00000000";"00000000";"";"JUHATAJA@LLK.TLN.EDU.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"13816 ";"635 6828 ";" ";"85529 ";"Muu huvikoolitus ";"130 ";"10.06.2004 ";"01.09.2004 ";"17 ";"27.04.2000 ";"16.02.2016 ";" ";"75016013 ";"107 ";"12.06.2013 ";"Tallinna Linnavolikogu otsus \"Asutuse Lasnamäe Lastekeskus asutamine\" ";"Tallinna Linnavalitsuse määrus \"Lasnamäe Lastekeskuse põhimäärus\" ";"Võimaldada lastele ajutiselt eale vastavaid õppimis-, elamis- ja kasvatustingimusi, toetada õpilaste sotsialiseerimist, osutada vajalikku õpiabi ning võimaldada huvialategevust koolivälisel ajal."
"75016013";"Lasnam�e Linnaosa Valitsus";"Tallinn, Harju maakond";"Pallasti 54";"";"";"";"00000000";"";"";"LASNAM�E@TALLINNLV.EE";"
Linna ametiasutus";"37 ";"11413 ";"645 7715 ";"645 7734 ";"84114 ";"Valla- ja linnavalitsuste tegevus ";"243 ";"02.07.1993 ";"30.07.1993 ";"17 ";"27.04.2000 ";"01.11.2000 ";"1240019 ";"75014920 ";"4 ";"26.01.2012 ";"Tallinna Linnavalitsuse määrus \"Rajoonivalitsuse reorganiseerimine\" ";"Tallinna Linnavolikogu määrus \"Lasnamäe Linnaosa Valitsuse põhimääruse muutmine\" ";"Kohaliku omavalitsuse asutus"
"75007563";"Lasnam�e Muusikakool";"Tallinn, Harju maakond";"Punane 69";"";"";"";"00000000";"";"";"MUUSIKA@MUUSIKA.TLN.EDU.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"13619 ";"601 2293 ";" ";"85521 ";"Muusika- ja kunstikoolitus ";"130 ";"20.04.2000 ";"20.04.2000 ";"17 ";"27.04.2000 ";"07.08.2000 ";" ";"75014289 ";"71 ";"15.10.2008 ";"Tallinna Linnavolikogu otsus \"Lasnamäe Muusikakooli asutamine\" ";"Tallinna Linnavalitsuse määrus \"Lasnamäe Muusikakooli põhimäärus\" ";"Luua mitmekülgse arengu ning huvihariduse omandamise võimalused muusika ja kunsti valdkonnas ning valmistada soovijaid ette professionaalse muusikahariduse omandamiseks."
"75038307";"Lasnam�e Noortekeskus";"Tallinn, Harju maakond";"Kahu tn 4";"00000000";"";"";"00000000";"00000000";"";"";"
Linna ametiasutuse hallatav asutus";"37 ";"13619 ";"63 288 14 ";"63 288 02 ";"85529 ";"Muu huvikoolitus ";"184 ";"20.12.2012 ";"01.03.2013 ";"17 ";"27.04.2000 ";"01.03.2013 ";" ";"75016013 ";"12 ";"11.02.2013 ";"Tallinna Linnavolikogu otsus \"Tallinna Noorsootöö Keskuse ümberkorraldamine ja Lasnamäe Linnaosa Valitsuse hallatava asutuse Lasnamäe Noortekeskus asutamine\" ";"Tallinna Linnavalitsuse määrus \"Lasnamäe Noortekeskuse põhimäärus\" ";"Noorsootöö korraldamine ja arendamine ning noorte omaalgatuse toetamine Lasnamäel"
"75017691";"Lasnam�e P�hikool";"Tallinn, Harju maakond";"ܜmera 46";"";"";"";"00000000";"";"";"LPK@LPK.TLN.EDU.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"13816 ";"635 6775 ";"635 6775 ";"85312 ";"Põhikoolide tegevus ";"20/546 ";"29.12.1992 ";"29.12.1992 ";"17 ";"27.04.2000 ";"28.11.2000 ";"1043721 ";"75014289 ";"107 ";"29.12.2004 ";"Riigi vara munitsipaalomandusse üleandmise akt ";"Tallinna Linnavalitsuse määrus \"Lasnamäe Põhikooli põhimääruse kinnitamine\" ";"Luua koolikohustuslikele lastele võimalused põhihariduse omandamiseks päevases õppevormis"
"75038948";"Lasnam�e Saun";"Tallinn, Harju maakond";"Pae 19";"00000000";"";"";"00000000";"00000000";"";"";"
Linna ametiasutuse hallatav asutus";"37 ";"11414 ";" ";" ";"96041 ";"Saunade, solaariumite ja massaažisalongide tegevus jm füüsilise ";"177 ";"13.11.2014 ";"01.12.2014 ";"17 ";"27.04.2000 ";"01.12.2014 ";" ";"75016013 ";"72 ";"26.11.2014 ";"Tallinna Linnavolikogu otsus \"Lasnamäe Linnaosa Valitsuse hallatava asutuse Lasnamäe Saun asutamine\" ";"Tallinna Linnavalitsuse määrus \"Lasnamäe Sauna põhimäärus\" ";"Sauna- ja pesemisteenuse pakkumine"
"75035281";"Lasnam�e Sotsiaalkeskus";"Tallinn, Harju maakond";"Killustiku 16";"00000000";"";"";"00000000";"00000000";"";"INFO@KESKUS.NETI.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"11414 ";"601 1201 ";"601 1201 ";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta ";"7 ";"24.01.2008 ";"01.02.2008 ";"17 ";"27.04.2000 ";"03.03.2008 ";" ";"75016013 ";"14 ";"13.02.2008 ";"Tallinna Linnavolikogu otsus \"Lasnamäe Sotsiaalkeskuse asutamine\" ";"Tallinna Linnavalitsuse määrus \"Lasnamäe Sotsiaalkeskuse põhimäärus\" ";"Sotsiaalteenuse osutamine Lasnamäe linnaosa eakate, puuetega inimeste, lastega perede ja teiste abivajajate toimetuleku soodustamiseks ja säilitamiseks."
"75018802";"Lasnam�e Spordikompleks";"Tallinn, Harju maakond";"Pae 1/Peterburi tee 15";"";"";"";"00000000";"";"";"";"
Linna ametiasutuse hallatav asutus";"37 ";"11411 ";"638 1613 ";" ";"93111 ";"Spordirajatiste käitus ";"74 ";"03.11.1995 ";"01.01.1996 ";"17 ";"27.04.2000 ";"29.11.2000 ";"1398016 ";"75016013 ";"74 ";"03.11.1995 ";"Tallinna Linnavalitsuse määrus \"Lasnamäe Spordikompleksi põhikirja kinnitamine\" ";"Tallinna Linnavalitsuse määrus \"Lasnamäe Spordikompleksi põhikirja kinnitamine\" ";"Elanikele spordi- ja terviseteenuste osutamine, spordihoone ning selle juurde kuuluva staadioni hooldamine ja korrashoid, kultuuri- ja muude massiürituste, näituste ja messide läbiviimiseks võimaluste tagamine."
"75016817";"Lasnam�e Vene G�mnaasium";"Tallinn, Harju maakond";"Koorti 23";"";"";"";"00000000";"";"";"LAVEG@LAVEG.TLN.EDU.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"13612 ";"632 7858 ";"632 1579 ";"85313 ";"Gümnaasiumide tegevus ";"20/546 ";"29.12.1992 ";"29.12.1992 ";"17 ";"27.04.2000 ";"29.11.2000 ";"1043595 ";"75014289 ";"105 ";"24.11.1999 ";"Riigi vara munitsipaalomandusse üleandmise akt ";"Tallinna Linnavalitsuse määrus \"Lasnamäe linnaosa munitsipaalkoolide põhimääruste kinnitamine\" ";"Loob koolikohustuslikele lastele võimalused üldkeskhariduse omandamiseks"
"75010275";"Laste Hoolekande Asutus Lootus";"Sillam�e linn, Ida-Viru maakond";"Gagarini 7";"";"";"";"00000000";"";"";"SLOOTUS@HOT.EE";"
Linna ametiasutuse hallatav asutus";"44 ";"40232 ";"392 9029 ";" ";"87901 ";"Asenduskoduteenust osutavate hoolekandeasutuste tegevus ";"12/23-M ";"30.05.2000 ";"01.09.2000 ";"17 ";"27.04.2000 ";"20.09.2000 ";" ";"75003909 ";"94 ";"19.06.2008 ";"Sillamäe Linnavolikogu määrus \"Laste hoolekande asutuse Lootus asutamine\" ";"Sillamäe Linnavolikogu määrus \"Laste Hoolekande Asutuse Lootus põhimäärus\" ";"Tagada lastele nende eale ja seisundile vastav hooldamine, rehabilitatsioon, tervishoiu korraldamine, kasvatamine ja arendamine, laste õiguste ja huvide kaitse ning valmistada nad ette iseseisvaks eluks."
"75010526";"Lasteaed \"Kaari\"";"Vastse-Kuuste alevik, Vastse-Kuuste vald, P�lva maakond";"";"";"";"";"00000000";"";"";"KAARI@VKUUSTE.EE";"
Valla ametiasutuse hallatav asutus";"65 ";"63601 ";"797 0238 ";" ";"85102 ";"Lasteaedade tegevus ";"6 ";"30.03.2000 ";"03.04.2000 ";"17 ";"27.04.2000 ";"08.09.2000 ";"54006631 ";"75010499 ";"6 ";"30.03.2000 ";"Vastse-Kuuste Vallavolikogu määrus \"Lasteaed \"Kaari\" põhimääruse kinnitamine\" ";"Vastse-Kuuste Vallavolikogu määrus \"Lasteaed \"Kaari\" põhimääruse kinnitamine\" ";"Võimaldab kooliaest noorematele lastele hoidu ja alushariduse omandamist."
"75024751";"Lasteaed \"Lepatriinu\"";"Lehtmetsa k�la, Anija vald, Harju maakond";"Kose mnt.36";"";"";"";"00000000";"";"";"LEPATRIINU@NETI.EE";"
Valla ametiasutuse hallatav asutus";"37 ";"74307 ";"608 5744 ";" ";"85102 ";"Lasteaedade tegevus ";"01/672-03 ";"29.05.1993 ";"29.05.1993 ";"17 ";"27.04.2000 ";"23.01.2001 ";" ";"75018816 ";"4 ";"20.04.2000 ";"Riigivarana arvele võetud sotsiaal-kultuuriobjektide munitsipaalomandusse üleandmise akt ";"Anija Vallavolikogu määrus \"Lasteaed \"Lepatriinu\" põhimääruse kinnitamine\" ";"Koolieast noorematele lastele hoidu ja alushariduse omandamist võimaldav lasteasutus"
"75008516";"Lasteaed Illikuku";"Ahja alevik, Ahja vald, P�lva maakond";"Illimari 3";"";"";"";"00000000";"";"";"INGE.SAKSING@GMAIL.COM";"
Valla ametiasutuse hallatav asutus";"65 ";"63701 ";"797 0039 ";" ";"85102 ";"Lasteaedade tegevus ";"7 ";"25.05.1999 ";"01.08.1999 ";"17 ";"27.04.2000 ";"28.08.2000 ";"54003229 ";"75008505 ";"7 ";"20.04.2012 ";"Ahja Vallavolikogu määrus \"Ahja valla koolieelse lasteasutuse edasiseks tegevuseks liigi määramine ja põhimääruse kinnitamine\" ";"Ahja Vallavolikogu määrus \"Lasteaia Illikuku põhimääruse muutmine\" ";"Koolieelne haridusasutus, mis toetab ja täiendab perekonda. Võimaldab koolieast noorematel lastel alushariduse omandamist ning nende hoidu, soodustades lapse kasvamist ning tema individuaalsuse arvestamist, mis loob eeldused edukaks edasijõudmiseks igapäevaelus ja koolis, arvestades nii lapse ealisi, soolisi kui ka individuaalseid vajadusi ja iseärasusi"
"75017461";"Lasteaed Kajakas";"Tallinn, Harju maakond";"Madala 13";"";"";"";"00000000";"";"";"KAJAKAS@LA.TLN.EDU.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"10315 ";"661 5553 ";" ";"85102 ";"Lasteaedade tegevus ";"20/685 ";"27.06.1995 ";"27.06.1995 ";"17 ";"27.04.2000 ";"07.11.2000 ";"1402781 ";"75014289 ";"90 ";"21.10.1999 ";"Riigi vara munitsipaalomandisse üleandmise akt ";"Tallinna Linnavalitsuse määrus \"Põhja-Tallinna linnaosa koolieelsete lasteasutuste põhimääruste kinnitamine\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist."
"75017478";"Lasteaed Kelluke";"Tallinn, Harju maakond";"Uus-Kalamaja 6";"";"";"";"00000000";"";"";"KELLUKA@LA.TLN.EDU.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"10415 ";"641 3288 ";" ";"85102 ";"Lasteaedade tegevus ";"20/687 ";"27.06.1995 ";"27.06.1995 ";"17 ";"27.04.2000 ";"07.11.2000 ";"1045536 ";"75014289 ";"90 ";"21.10.1999 ";"Riigi vara munitsipaalomandisse üleandmise akt ";"Tallinna Linnavalitsuse määrus \"Põhja-Tallinna linnaosa koolieelsete lasteasutuste põhimääruste kinnitamine\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist."
"75023668";"Lasteaed Linnutaja";"Torma alevik, Torma vald, J�geva maakond";"Lasteaia 3";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"49 ";"48502 ";"077 34 343 ";" ";"85102 ";"Lasteaedade tegevus ";"9 ";"21.01.2000 ";"01.02.2000 ";"17 ";"27.04.2000 ";"05.04.2001 ";" ";"75023645 ";"9 ";"21.01.2000 ";"Torma Vallavolikogu määrus \"Lasteaia \"Linnutaja\" põhimääruse kinnitamine\" ";"Torma Vallavolikogu määrus \"Lasteaia \"Linnutaja\" põhimääruse kinnitamine\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist"
"75003074";"Lasteaed MARI";"P�ltsamaa linn, J�geva maakond";"P�rna tn 3";"";"";"";"00000000";"";"";"LASTEAEDMARI@GMAIL.COM";"
Linna ametiasutuse hallatav asutus";"49 ";"48104 ";"775 1420 ";" ";"85102 ";"Lasteaedade tegevus ";"86 ";"13.05.1992 ";"13.05.1992 ";"17 ";"27.04.2000 ";"09.02.2016 ";"41001201 ";"75003045 ";"14 ";"21.12.2010 ";"Jõgeva Maavalitsuse määrus \"Riigivara üleandmisest esmatasandi omavalitsuse munitsipaalomandusse\" ";"Põltsamaa Linnavolikogu määrus \"Lasteaia MARI põhimäärus\" ";"Koolieast nooremate laste hoiu ja alushariduse omandamise võimaldamine."
"75017484";"Lasteaed Maasikas";"Tallinn, Harju maakond";"Vasara 18";"";"";"";"00000000";"";"";"MAASIKAS@LA.TLN.EDU.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"11713 ";"662 8787 ";"662 8787 ";"85102 ";"Lasteaedade tegevus ";"20/545 ";"29.12.1992 ";"29.12.1992 ";"17 ";"27.04.2000 ";"07.11.2000 ";"1402769 ";"75014289 ";"90 ";"21.10.1999 ";"Riigi vara munitsipaalomandusse üleandmise akt ";"Tallinna Linnavalitsuse määrus \"Põhja-Tallinna koolieelsete lasteasutuste põhimääruste kinnitamine\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist"
"75017840";"Lasteaed Mesipuu";"Tallinn, Harju maakond";"Kangru 5/Kangru 6";"";"";"";"00000000";"";"";"MESIPUU@LA.TLN.EDU.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"10312 ";"661 9285 ";"661 9285 ";"85102 ";"Lasteaedade tegevus ";"20/545 ";"29.12.1992 ";"29.12.1992 ";"17 ";"27.04.2000 ";"07.11.2000 ";"1258048 ";"75014289 ";"90 ";"21.10.1999 ";"Riigi vara munitsipaalomandusse üleandmise akt ";"Tallinna Linnavalitsuse määrus \"Põhja-Tallinna linnaosa koolieelsete lasteasutuste põhimääruste kinnitamine\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist."
"75014474";"Lasteaed Miki";"Keila linn, Harju maakond";"Jaama 10";"";"";"";"00000000";"";"";"";"
Linna ametiasutuse hallatav asutus";"37 ";"76605 ";"0 678 1690 ";" ";"85102 ";"Lasteaedade tegevus ";"13 ";"13.02.1991 ";"01.01.1991 ";"17 ";"27.04.2000 ";"18.10.2000 ";" ";"75014422 ";"21 ";"22.06.1999 ";"Harjumaa Hariduskoondise juhataja käskkiri ";"Keila Linnavolikogu määrus \"Keila Lasteaia Miki põhimääruse kinnitamine\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist."
"75017863";"Lasteaed Naeratus";"Tallinn, Harju maakond";"Niidi p�ik 4";"";"";"";"00000000";"";"";"NAERATUS@LA.TLN.EDU.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"10314 ";"662 7974 ";" ";"85102 ";"Lasteaedade tegevus ";"20/545 ";"29.12.1992 ";"29.12.1992 ";"17 ";"27.04.2000 ";"07.11.2000 ";"1033220 ";"75014289 ";"90 ";"21.10.1999 ";"Riigi vara munitsipaalomandusse üleandmise akt ";"Tallinna Linnavalitsuse määrus \"Põhja-Tallinna linnaosa koolieelsete lasteasutuste põhimääruste kinnitamine\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist."
"75026603";"Lasteaed Neeme Mudila";"Neeme k�la, J�el�htme vald, Harju maakond";"M�nnim�e tee";"";"";"";"00000000";"";"";"INFO@NEEMEMUDILA.EE";"
Valla ametiasutuse hallatav asutus";"37 ";"74226 ";"608 3747 ";"608 3747 ";"85102 ";"Lasteaedade tegevus ";"22 ";"27.12.2000 ";"08.01.2001 ";"17 ";"27.04.2000 ";"14.03.2001 ";" ";"75025973 ";"35 ";"25.11.2010 ";"Jõelähtme Vallavolikogu määrus \"Neeme Lasteaia põhimääruse kinnitamine\" ";"Jõelähtme Vallavolikogu määrus \"Lasteaed Neeme Mudila põhimäärus\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist"
"75017873";"Lasteaed Ojake";"Tallinn, Harju maakond";"�dala 3";"";"";"";"00000000";"";"";"OJAKE@LA.TLN.EDU.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"10614 ";"673 8269 ";"673 8269 ";"85102 ";"Lasteaedade tegevus ";"20/545 ";"29.12.1992 ";"29.12.1992 ";"17 ";"27.04.2000 ";"07.11.2000 ";"1051809 ";"75014289 ";"90 ";"21.10.1999 ";"Riigi vara munitsipaalomandusse üleandmise akt ";"Tallinna Linnavalitsuse määrus \"Põhja-Tallinna linnaosa koolieelsete lasteasutuste põhimääruste kinnitamine\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist."
"75026224";"Lasteaed Pillerpall";"Vaida alevik, Rae vald, Harju maakond";"Vana-Tartu mnt 34";"";"";"";"00000000";"";"";"PILLERPALL@RAE.EE";"
Valla ametiasutuse hallatav asutus";"37 ";"75302 ";"0 603 5217 ";" ";"85102 ";"Lasteaedade tegevus ";"91 ";"21.09.1999 ";"01.10.1999 ";"17 ";"27.04.2000 ";"14.03.2001 ";" ";"75026106 ";"91 ";"21.09.1999 ";"Rae Vallavolikogu määrus \"Rae valla lasteaedade põhimääruste kinnitamine\" ";"Rae Vallavolikogu määrus \"Rae valla lasteaedade põhimääruste kinnitamine\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist"
"75019572";"Lasteaed Pisip�nn";"Tapa v-linn, Tapa vald, L��ne-Viru maakond";"Nooruse 11";"";"";"";"00000000";"";"";"PISIPONN@TAPA.EE";"
Valla ametiasutuse hallatav asutus";"59 ";"45106 ";"322 0063 ";" ";"85102 ";"Lasteaedade tegevus ";"7 ";"08.04.1993 ";"01.07.1993 ";"17 ";"27.04.2000 ";"15.02.2001 ";"59007575 ";"75033477 ";"56 ";"12.04.2007 ";"Tapa Linnavolikogu otsus ";"Tapa Vallavolikogu määrus \"Lasteaed Pisipõnn põhimäärus\" ";"Võimaldada koolieast noorematele lastele hoidu ja alushariduse omandamist ning kooliks ettevalmistamist."
"75017892";"Lasteaed P�ikene";"Tallinn, Harju maakond";"S�le 39";"";"";"";"00000000";"";"";"PAIKENE@LA.TLN.EDU.EE";"
Linna ametiasutuse hallatav asutus";"37 ";"10321 ";"602 0638 ";"602 0638 ";"85102 ";"Lasteaedade tegevus ";"20/545 ";"29.12.1992 ";"29.12.1992 ";"17 ";"27.04.2000 ";"08.11.2000 ";"1033378 ";"75014289 ";"90 ";"21.10.1999 ";"Riigi vara munitsipaalomandusse üleandmise akt ";"Tallinna Linnavalitsuse määrus \"Põhja-Tallinna linnaosa koolieelsete lasteasutuste põhimääruste kinnitamine\" ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist."
